Date,Temperaturas núcleo (avg) [°C],Relojes núcleo (avg) [MHz],Uso núcleo (avg) [%],Uso núcleo (avg) [%]
3.7.2025,44,1995.6,11.2,7.9
3.7.2025,72,2694.1,43.1,53.9
3.7.2025,80,2694.1,100.0,111.1
3.7.2025,85,2692.1,100.0,111.1
3.7.2025,88,2692.7,100.0,111.1

3.7.2025,88,2692.7,100.0,111.1
3.7.2025,88,2692.7,100.0,111.1
3.7.2025,88,2692.7,100.0,111.1
3.7.2025,88,2692.7,100.0,111.1
3.7.2025,88,2692.7,100.0,111.1



Date,Temperaturas nÃºcleo (avg) [Â°C],Relojes nÃºcleo (avg) [MHz],Uso nÃºcleo (avg) [%],UtilizaciÃ³n nÃºcleo (avg) [%]
,CPU [#0]: Intel Core i5-6200U: DTS,CPU [#0]: Intel Core i5-6200U,CPU [#0]: Intel Core i5-6200U,CPU [#0]: Intel Core i5-6200U
