Date,Temperaturas núcleo (avg) [°C],Relojes núcleo (avg) [MHz],Uso núcleo (avg) [%],Uso núcleo (avg) [%]
2.7.2025,26,2635.2,0.8,1.6
2.7.2025,34,3308.6,3.5,7.3
2.7.2025,63,3541.3,91.5,171.2
2.7.2025,66,3549.7,100.0,173.1
2.7.2025,68,3549.7,100.0,172.8
2.7.2025,70,3541.3,100.0,172.7

2.7.2025,70,3541.3,100.0,172.7
2.7.2025,70,3541.3,100.0,172.7
2.7.2025,70,3541.3,100.0,172.7
2.7.2025,70,3541.3,100.0,172.7

Date,Temperaturas nÃºcleo (avg) [Â°C],Relojes nÃºcleo (avg) [MHz],Uso nÃºcleo (avg) [%],UtilizaciÃ³n nÃºcleo (avg) [%]
,CPU [#0]: Intel Core i7-12700: DTS,CPU [#0]: Intel Core i7-12700,CPU [#0]: Intel Core i7-12700,CPU [#0]: Intel Core i7-12700
