Date,Temperaturas núcleo (avg) [°C],Relojes núcleo (avg) [MHz],Uso núcleo (avg) [%],Uso núcleo (avg) [%]
2.7.2025,29,2701.7,1.4,2.7
2.7.2025,34,2311.0,3.7,8.9
2.7.2025,68,3642.0,99.7,184.8
2.7.2025,70,3641.1,100.0,177.9
2.7.2025,73,3616.2,100.0,177.5
2.7.2025,76,3641.1,100.0,177.3
2.7.2025,68,4073.4,99.8,176.5
2.7.2025,42,3042.6,1.1,2.9
2.7.2025,40,2419.1,1.3,2.0
2.7.2025,38,2377.5,0.5,1.2
2.7.2025,37,2377.5,1.0,1.6
Date,Temperaturas nÃºcleo (avg) [Â°C],Relojes nÃºcleo (avg) [MHz],Uso nÃºcleo (avg) [%],UtilizaciÃ³n nÃºcleo (avg) [%]
,CPU [#0]: Intel Core i7-12700: DTS,CPU [#0]: Intel Core i7-12700,CPU [#0]: Intel Core i7-12700,CPU [#0]: Intel Core i7-12700
